pegon,latin
فٓڠْڮِيڠ,f^en_g.giYn_g
لٓمبُو,l^embuW
فٓتٓڠ,f^et^en_g
مٓدُورَا,m^eduWraA
ڮُوڮُور,guWguWr
اِڠكَڠ,in_gkan_g
اِبُوْ,ibuW.
بَاڮَلَينْ,baAgalen.
اَسمَا,asmaA
جَارَانْ,jaAraAn.
ڤَنُولَيه,panuWleh
سَمْڤَاڠْ,sam.paAn_g.
مَدُرَا,maduraA
حَسَنْ,h_hasan.
تٓمْبَي,t^em.be
اَخِيرْ,ak_hiYr.
رَادَيْن,raAde.n
فَتَحْ,fatah_h.
اِيَا,iYaA
اِيكِى,iYki^y
ڠٓدٓكَاكٓنْ,n_g^ed^ekaAk^en.
كٓرَاجَاأَنْ,k^eraAjaAan.
اِسْلاَمْ,is.lam.
كَاوِيْتَانْ,kaAwiY.taAn.
بِنْطَارَا,bin.t_taAraA
مُورِيْه,muWriY.h
سَمفُرنَانِى,samfurnaAni^y
چَارِيتَا,caAriYtaA
چَوْبَا,co.baA
تٓرَاڠَاكَي,t^eraAn_gaAke
نَسَبْ,nasab.
بِنْ,bin.
كَرْطَاوِيْجَايَا,kar.t_taAwiY.jaAyaA
سُورُوهْ,suWruWh.
فٓجَاجَارَان,f^ejaAjaAraAn
سَارِى,saAri^y
لَالِيَّانْ,laAliYYaAn.
رَاوِيْس,raAwiY.s
رٓڠْڮَا,r^en_g.gaA
جٓڠْڮَالَا,j^en_g.gaAlaA
طٓبُو,t_t^ebuW
لٓمْبُو,l^em.buW
اَمِيلُوهُورْ,amiYluWhuWr.
حَدَثِ,h_hadati
